"time","x","y","der(x)","der(y)","s",
13.87999999999992,0.2544254457153902,0.9669429336227032,-0.9669429336227032,0.2544254457153902,1,
13.89999999999992,0.2350372542152947,0.9718377684697003,-0.9718377684697003,0.2350372542152947,1,
13.91999999999992,0.2155549412041596,0.9763440086042995,-0.9763440086042995,0.2155549412041596,1,
13.93999999999992,0.1959863451738412,0.9804597822885954,-0.9804597822885954,0.1959863451738412,1,
13.95999999999992,0.1763393484289721,0.9841833626348279,-0.9841833626348279,0.1763393484289721,1,
13.97999999999992,0.1566217375081752,0.9875133261540446,-0.9875133261540446,0.1566217375081752,1,
13.99999999999991,0.136841394569001,0.9904483299195515,-0.9904483299195515,0.136841394569001,1,
14.01999999999991,0.1170062306880122,0.9929871861337898,-0.9929871861337898,0.1170062306880122,1,
14.03999999999991,0.09712418331915346,0.9951288627625799,-0.9951288627625799,0.09712418331915346,1,
14.05999999999991,0.07720323132229533,0.9968724983191823,-0.9968724983191823,0.07720323132229533,1,
14.07999999999991,0.05725136074834684,0.9982173769910583,-0.9982173769910583,0.05725136074834684,1,
14.09999999999991,0.0372765749011754,0.999162939424151,-0.999162939424151,0.0372765749011754,1,
14.11999999999991,0.01728689844654871,0.9997087887130459,-0.9997087887130459,0.01728689844654871,1,
14.13728942871085,4.71567402565194e-07,0.9998349143346784,-0.9998349143346784,4.71567402565194e-07,1,
14.13729003906241,-1.386781892428389e-07,0.9998349187871662,-0.9998349187871662,-1.386781892428389e-07,0,
14.13999999999991,-0.002709648261400654,0.9998312470119148,-0.9998312470119148,-0.002709648261400654,0,
14.15999999999991,-0.0227039974055726,0.9995771070085812,-0.9995771070085812,-0.0227039974055726,0,
14.17999999999991,-0.04268735230241932,0.9989232416459527,-0.9989232416459527,-0.04268735230241932,0,
14.19999999999991,-0.06265275844763715,0.9978699444564686,-0.9978699444564686,-0.06265275844763715,0,
14.21999999999991,-0.08259300964023931,0.9964176359384173,-0.9964176359384173,-0.08259300964023931,0,
14.23999999999991,-0.1025002251452336,0.9945668997413962,-0.9945668997413962,-0.1025002251452336,0,
14.25999999999991,-0.122367485412201,0.9923184074163861,-0.9923184074163861,-0.122367485412201,0,
14.27999999999991,-0.1421863060059,0.9896731335589672,-0.9896731335589672,-0.1421863060059,0,
